label,ï»¿publisher,publisherarea,publishertype,year,rawtitle,usedtitle,title_tokens,cluster
1,antaranews,national,media,2018,Tiga ekor kukang dilepasliarkan,ekor kukang lepasliar,"['ekor', 'kukang', 'lepasliar']",0
2,kumparan,national,media,2018,Penjual Kukang di Sumbar Divonis    Tahun Penjara dan Denda Rp        Juta,jual kukang sumbar vonis tahun penjara denda rp juta,"['jual', 'kukang', 'sumbar', 'vonis', 'tahun', 'penjara', 'denda', 'rp', 'juta']",2
3,riauonline,local,media,2018,Suaka Margasatwa Kerumutan Tambah Koleksi Kukang untuk Dilepasliarkan,suaka margasatwa kerumutan koleksi kukang lepasliar,"['suaka', 'margasatwa', 'kerumutan', 'koleksi', 'kukang', 'lepasliar']",1
4,mongabay,national,media,2018,Kerja Konservasi Belum Selesai   Meski Satwa Dilindungi Dikembalikan ke Hutan,konservasi selesai satwa lindung hutan,"['konservasi', 'selesai', 'satwa', 'lindung', 'hutan']",3
5,kumparan,national,media,2018,Membantu Vinka   Kukang Buta yang Tak Bisa Kembali ke Habitatnya,bantu vinka kukang buta habitat,"['bantu', 'vinka', 'kukang', 'buta', 'habitat']",1
6,mongabay,national,media,2018,Bukan Hanya Konflik   Perdagangan Satwa Liar Dilindungi Harus Ditangani,konflik dagang satwa liar lindung tangan,"['konflik', 'dagang', 'satwa', 'liar', 'lindung', 'tangan']",6
7,mongabay,national,media,2018,Kukang Kurus Tercabut Giginya Ini Dijual di Pasar Terbuka   Kok Bisa?,kukang kurus cabut gigi jual pasar buka,"['kukang', 'kurus', 'cabut', 'gigi', 'jual', 'pasar', 'buka']",2
8,mongabay,national,media,2018,Sungguh Malang Nasib Kukang Sumatera Albino Ini,sungguh malang nasib kukang sumatera albino,"['sungguh', 'malang', 'nasib', 'kukang', 'sumatera', 'albino']",4
9,tempo,national,media,2018,Ribuan Kukang Diperdagangkan Melalui Facebook,ribu kukang dagang facebook,"['ribu', 'kukang', 'dagang', 'facebook']",2
10,gonews,national,media,2018,BBKSDA Riau Kembalikan Kukang Jantan Berumur    Tahun ke Habitatnya,bbksda riau kukang jantan umur tahun habitat,"['bbksda', 'riau', 'kukang', 'jantan', 'umur', 'tahun', 'habitat']",4
11,mongabay,national,media,2018,Tanpa Hukuman Berat   Kejahatan Satwa Liar Dilindungi akan Terus Terjadi,hukum berat jahat satwa liar lindung,"['hukum', 'berat', 'jahat', 'satwa', 'liar', 'lindung']",6
12,kompas,national,media,2018,BBKSDA Riau Lepasliarkan Beruang   Macan Akar   dan Kukang ke Habitatnya,bbksda riau lepasliar beruang macan akar kukang habitat,"['bbksda', 'riau', 'lepasliar', 'beruang', 'macan', 'akar', 'kukang', 'habitat']",1
13,tribunnews,national,media,2018,BKSDA Kembali Ingatkan Warga   Pelihara Satwa Dilindungi Hukumnya    Tahun Penjara   Denda Rp        Juta,bksda warga pelihara satwa lindung hukum tahun penjara denda rp juta,"['bksda', 'warga', 'pelihara', 'satwa', 'lindung', 'hukum', 'tahun', 'penjara', 'denda', 'rp', 'juta']",3
14,idntimes,national,media,2018,Antara Pemalas atau Memang Pelan   Ini      Hewan Paling Lambat di Dunia,malas pelan hewan lambat dunia,"['malas', 'pelan', 'hewan', 'lambat', 'dunia']",1
15,antaranews,national,media,2018,kukang diperdagangkan melalui Facebook,kukang dagang facebook,"['kukang', 'dagang', 'facebook']",2
16,kompas,national,media,2018,BKSDA Aceh Lepas Liarkan Kembali Siamang dan Kukang ke Habitatnya,bksda aceh lepas liar siamang kukang habitat,"['bksda', 'aceh', 'lepas', 'liar', 'siamang', 'kukang', 'habitat']",6
17,detik,national,media,2018,Anak Gubernur Sumsel Serahkan Kukang Seharga Rp        Ribu ke BKSDA,anak gubernur sumsel serah kukang harga rp ribu bksda,"['anak', 'gubernur', 'sumsel', 'serah', 'kukang', 'harga', 'rp', 'ribu', 'bksda']",0
18,radarbogor,local,media,2018,Iar Sebut Jabar Pangsa Pasar Perdagangan Kukang,iar jabar pangsa pasar dagang kukang,"['iar', 'jabar', 'pangsa', 'pasar', 'dagang', 'kukang']",4
19,merdeka,national,media,2018,Jual Kukang dan Lutung di Facebook   seorang petani masuk bui,jual kukang lutung facebook tani bui,"['jual', 'kukang', 'lutung', 'facebook', 'tani', 'bui']",2
20,merdeka,national,media,2018,BKSDA Aceh gagalkan penjualan dua kukang lewat media sosial,bksda aceh gagal jual kukang media sosial,"['bksda', 'aceh', 'gagal', 'jual', 'kukang', 'media', 'sosial']",2
21,tribunnews,national,media,2018,Cerita Leony dan Iva Anak Gubernur Sumsel Temukan Kukang Langka di Pasar ,cerita leony iva anak gubernur sumsel temu kukang langka pasar,"['cerita', 'leony', 'iva', 'anak', 'gubernur', 'sumsel', 'temu', 'kukang', 'langka', 'pasar']",4
22,radarbogor,local,media,2018,jual hewan langka lewat facebook warga katulampa berurusan dengan polisi,jual hewan langka facebook warga katulampa urus polisi,"['jual', 'hewan', 'langka', 'facebook', 'warga', 'katulampa', 'urus', 'polisi']",2
23,bbc,national,media,2018,Apakah kebiasaan Anda menggunakan internet membahayakan satwa liar?,internet bahaya satwa liar,"['internet', 'bahaya', 'satwa', 'liar']",6
24,voaindonesia,national,media,2018,Jual Satwa Dilindungi di Facebook   Petani Sumut Ditangkap,jual satwa lindung facebook tani sumut tangkap,"['jual', 'satwa', 'lindung', 'facebook', 'tani', 'sumut', 'tangkap']",2
25,mongabay,national,media,2018,Ruang Hidup untuk Satwa Penjaga Hutan Harus Kita Jaga,ruang hidup satwa jaga hutan jaga,"['ruang', 'hidup', 'satwa', 'jaga', 'hutan', 'jaga']",6
26,kompas,national,media,2018,Polisi Ungkap Kasus Penjualan Satwa Dilindungi di Pasar Ayam Cirebon,polisi jual satwa lindung pasar ayam cirebon,"['polisi', 'jual', 'satwa', 'lindung', 'pasar', 'ayam', 'cirebon']",2
27,antaranews,national,media,2018,Belasan satwa dilindungi dilepasliarkan di Siantang,bas satwa lindung lepasliar siantang,"['bas', 'satwa', 'lindung', 'lepasliar', 'siantang']",3
28,tribunnews,national,media,2018,Paman Birin Berikan Nama Hewan Penghuni Baru Tahura Mandiangin,paman birin ikan nama hewan huni tahura mandiangin,"['paman', 'birin', 'ikan', 'nama', 'hewan', 'huni', 'tahura', 'mandiangin']",1
29,mongabay,national,media,2018,Perdagangan Satwa Menggila   Berikut Foto foto Hasil Sitaan,dagang satwa gila foto foto hasil sita,"['dagang', 'satwa', 'gila', 'foto', 'foto', 'hasil', 'sita']",3
30,tribunnews,national,media,2018,Bupati Tapanuli Utara Pelihara Satwa Langka di Rumah Dinas,bupati tapanuli utara pelihara satwa langka rumah dinas,"['bupati', 'tapanuli', 'utara', 'pelihara', 'satwa', 'langka', 'rumah', 'dinas']",3
31,tribunnews,national,media,2018,Bukan Editan Photoshop Kukang Raksasa yang Bisa Berpose Seperti Manusia   ,edit photoshop kukang raksasa pose manusia,"['edit', 'photoshop', 'kukang', 'raksasa', 'pose', 'manusia']",4
32,jatimnet,local,media,2018,Populasi Lutung Jawa di Malang Selatan Meningkat,populasi lutung jawa malang selatan tingkat,"['populasi', 'lutung', 'jawa', 'malang', 'selatan', 'tingkat']",5
33,antaranews,national,media,2018,Warga Muara Teweh serahkan satwa beruk kepada BKSDA,warga muara teweh serah satwa beruk bksda,"['warga', 'muara', 'teweh', 'serah', 'satwa', 'beruk', 'bksda']",0
34,jawapos,local,media,2018,Libur Natal dan Tahun Baru   Pengunjung Ragunan Bisa Tembus        Ribu,libur natal tahun unjung ragunan tembus ribu,"['libur', 'natal', 'tahun', 'unjung', 'ragunan', 'tembus', 'ribu']",4
35,liputan6,national,media,2018,Polisi Sita Owa hingga Kakak Tua Jambul Kuning dari Tangan Warga,polisi sita owa kakak tua jambul kuning tangan warga,"['polisi', 'sita', 'owa', 'kakak', 'tua', 'jambul', 'kuning', 'tangan', 'warga']",0
36,antaranews,national,media,2018,Masyarakat dukung perubahan status cagar alam Danau Dendam Tak Sudah,masyarakat dukung ubah status cagar alam danau dendam,"['masyarakat', 'dukung', 'ubah', 'status', 'cagar', 'alam', 'danau', 'dendam']",6
37,kumparan,national,media,2018,Keren Nih Kamping Anti Mainstream di Pinggir Pantai Karangbolong Sukabumi,keren nih kamping anti mainstream pinggir pantai karangbolong sukabumi,"['keren', 'nih', 'kamping', 'anti', 'mainstream', 'pinggir', 'pantai', 'karangbolong', 'sukabumi']",1
38,detik,national,media,2018,Satwa Liar di Sekitar Tambang Emas Banyuwangi Tetap Terjaga,satwa liar tambang emas banyuwangi jaga,"['satwa', 'liar', 'tambang', 'emas', 'banyuwangi', 'jaga']",6
39,jatimnow,local,media,2018,Niat Bikin Kebun Binatang Mini di Rumah   Kasturi Ditangkap Polisi,niat bikin kebun binatang mini rumah kasturi tangkap polisi,"['niat', 'bikin', 'kebun', 'binatang', 'mini', 'rumah', 'kasturi', 'tangkap', 'polisi']",1
40,tribunnews,national,media,2018,Tambahan Empat Jenis Hewan Ini   Satwa di Tahura Kian Banyak,jenis hewan satwa tahura kian,"['jenis', 'hewan', 'satwa', 'tahura', 'kian']",3
41,detik,national,media,2018,Penjual Hewan Langka di Media Sosial Ditangkap Polisi,jual hewan langka media sosial tangkap polisi,"['jual', 'hewan', 'langka', 'media', 'sosial', 'tangkap', 'polisi']",2
42,tagar,national,media,2018,BKSDA Aceh Lepasliarkan    Satwa di Hutan Jantho,bksda aceh lepasliar satwa hutan jantho,"['bksda', 'aceh', 'lepasliar', 'satwa', 'hutan', 'jantho']",1
43,mongabay,national,media,2018,Lutung Jawa Ini Hidup Bebas Kembali di Kondang Merak,lutung jawa hidup bebas kondang merak,"['lutung', 'jawa', 'hidup', 'bebas', 'kondang', 'merak']",5
44,tribunnews,national,media,2018,FOTO Taman Wisata Alam Desaku   Berwisata Sambil Dapat Edukasi dan Sarana ,foto taman wisata alam desa wisata edukasi sarana,"['foto', 'taman', 'wisata', 'alam', 'desa', 'wisata', 'edukasi', 'sarana']",1
45,tribunnews,national,media,2018,Daftar Satwa Langka Terancam Punah yang Kini Dirawat di Taman Rimba ,daftar satwa langka ancam punah rawat taman rimba,"['daftar', 'satwa', 'langka', 'ancam', 'punah', 'rawat', 'taman', 'rimba']",7
46,mongabay,national,media,2018,Bakal Ada Tambang Batubara di Pangkalan Kapas   Respon Warga?,tambang batubara pangkal kapas respon warga,"['tambang', 'batubara', 'pangkal', 'kapas', 'respon', 'warga']",0
